Year,Series,Value
2016,Remittance costs as a proportion of the amount remitted,10.06
2018,Remittance costs as a proportion of the amount remitted,12.28
2019,Remittance costs as a proportion of the amount remitted,9.56
2020,Remittance costs as a proportion of the amount remitted,16.09
