Year,Series,Value
2016,Number of people requiring interventions against neglected tropical diseases,128936746
2017,Number of people requiring interventions against neglected tropical diseases,133972724
2018,Number of people requiring interventions against neglected tropical diseases,131361930
2019,Number of people requiring interventions against neglected tropical diseases,134545208
2020,Number of people requiring interventions against neglected tropical diseases,136378141
2021,Number of people requiring interventions against neglected tropical diseases,139910337
2022,Number of people requiring interventions against neglected tropical diseases,138928998
