Year,Series,Units,Value
2016,Total Fiseries Production,metric tons,1041498
2017,Total Fiseries Production,metric tons,1212475
2018,Total Fiseries Production,metric tons,1169478
2019,Total Fiseries Production,metric tons,1114556
2020,Total Fiseries Production,metric tons,1044812
2021,Total Fiseries Production,metric tons,1080855
2022,Total Fiseries Production,metric tons,1043230
2023,Total Fiseries Production,metric tons,1058435
