Year,Access to Basic Services,Sector,Wealth Index Quintile,Geopolitical zone,Education Status,State,GeoCode,Value
2021,Water,,,,,Kano,NGKN19,66.2
2021,Sanitation,,,,,Kano,NGKN19,51.9
2021,Electricity,,,,,Kano,NGKN19,49.2
2021,Radio,,,,,Kano,NGKN19,45.6
2021,Television,,,,,Kano,NGKN19,29.0
2021,Internet,,,,,Kano,NGKN19,28.7
2021,Telephone,,,,,Kano,NGKN19,86.3
2017,Water,,,,,Katsina,NGKT20,60.8
2017,Sanitation,,,,,Katsina,NGKT20,28.2
2017,Electricity,,,,,Katsina,NGKT20,30.0
2017,Radio,,,,,Katsina,NGKT20,56.0
2017,Television,,,,,Katsina,NGKT20,20.4
2017,Telephone,,,,,Katsina,NGKT20,55.8
2021,Water,,,,,Katsina,NGKT20,66.9
2021,Sanitation,,,,,Katsina,NGKT20,27.4
2021,Electricity,,,,,Katsina,NGKT20,29.7
2021,Radio,,,,,Katsina,NGKT20,38.0
2021,Television,,,,,Katsina,NGKT20,11.9
2021,Internet,,,,,Katsina,NGKT20,21.1
2021,Telephone,,,,,Katsina,NGKT20,79.8
2017,Water,,,,,Kebbi,NGKE21,55.3
2017,Sanitation,,,,,Kebbi,NGKE21,30.5
2017,Electricity,,,,,Kebbi,NGKE21,41.4
2017,Radio,,,,,Kebbi,NGKE21,44.8
2017,Television,,,,,Kebbi,NGKE21,21.5
2017,Telephone,,,,,Kebbi,NGKE21,50.9
2021,Water,,,,,Kebbi,NGKE21,59.0
2021,Sanitation,,,,,Kebbi,NGKE21,20.2
2021,Electricity,,,,,Kebbi,NGKE21,38.9
2021,Radio,,,,,Kebbi,NGKE21,27.7
2021,Television,,,,,Kebbi,NGKE21,13.7
2021,Internet,,,,,Kebbi,NGKE21,10.5
2021,Telephone,,,,,Kebbi,NGKE21,72.3
2017,Water,,,,,Kogi,NGKO22,70.2
2017,Sanitation,,,,,Kogi,NGKO22,21.7
2017,Electricity,,,,,Kogi,NGKO22,50.2
2017,Radio,,,,,Kogi,NGKO22,58.2
2017,Television,,,,,Kogi,NGKO22,54.0
2017,Telephone,,,,,Kogi,NGKO22,83.0
2021,Water,,,,,Kogi,NGKO22,71.4
2021,Sanitation,,,,,Kogi,NGKO22,26.3
2021,Electricity,,,,,Kogi,NGKO22,58.2
2021,Radio,,,,,Kogi,NGKO22,43.6
2021,Television,,,,,Kogi,NGKO22,40.0
2021,Internet,,,,,Kogi,NGKO22,34.2
2021,Telephone,,,,,Kogi,NGKO22,91.2
2017,Water,,,,,Kwara,NGKW23,85.8
2017,Sanitation,,,,,Kwara,NGKW23,22.5
2017,Electricity,,,,,Kwara,NGKW23,71.8
2017,Radio,,,,,Kwara,NGKW23,74.4
2017,Television,,,,,Kwara,NGKW23,56.3
2017,Telephone,,,,,Kwara,NGKW23,67.6
2021,Water,,,,,Kwara,NGKW23,81.4
2021,Sanitation,,,,,Kwara,NGKW23,24.4
2021,Electricity,,,,,Kwara,NGKW23,78.9
2021,Radio,,,,,Kwara,NGKW23,60.4
2021,Television,,,,,Kwara,NGKW23,58.2
2021,Internet,,,,,Kwara,NGKW23,34.3
2021,Telephone,,,,,Kwara,NGKW23,90.2
2017,Water,,,,,Lagos,NGLA24,93.6
2017,Sanitation,,,,,Lagos,NGLA24,44.0
2017,Electricity,,,,,Lagos,NGLA24,99.1
2017,Radio,,,,,Lagos,NGLA24,64.6
2017,Television,,,,,Lagos,NGLA24,88.2
2017,Telephone,,,,,Lagos,NGLA24,95.4
2021,Water,,,,,Lagos,NGLA24,97.9
2021,Sanitation,,,,,Lagos,NGLA24,43.7
2021,Electricity,,,,,Lagos,NGLA24,98.9
2021,Radio,,,,,Lagos,NGLA24,69.7
2021,Television,,,,,Lagos,NGLA24,89.8
2021,Internet,,,,,Lagos,NGLA24,65.0
2021,Telephone,,,,,Lagos,NGLA24,97.2
2017,Water,,,,,Nasarawa,NGNA25,54.8
2017,Sanitation,,,,,Nasarawa,NGNA25,27.0
2017,Electricity,,,,,Nasarawa,NGNA25,31.5
2017,Radio,,,,,Nasarawa,NGNA25,56.6
2017,Television,,,,,Nasarawa,NGNA25,40.7
2017,Telephone,,,,,Nasarawa,NGNA25,78.2
2021,Water,,,,,Nasarawa,NGNA25,55.7
2021,Sanitation,,,,,Nasarawa,NGNA25,30.2
2021,Electricity,,,,,Nasarawa,NGNA25,44.6
2021,Radio,,,,,Nasarawa,NGNA25,38.7
2021,Television,,,,,Nasarawa,NGNA25,30.3
2021,Internet,,,,,Nasarawa,NGNA25,19.7
2021,Telephone,,,,,Nasarawa,NGNA25,88.9
2017,Water,,,,,Niger,NGNI26,52.9
2017,Sanitation,,,,,Niger,NGNI26,33.1
2017,Electricity,,,,,Niger,NGNI26,55.0
2017,Radio,,,,,Niger,NGNI26,58.3
2017,Television,,,,,Niger,NGNI26,48.6
2017,Telephone,,,,,Niger,NGNI26,80.6
2021,Water,,,,,Niger,NGNI26,68.5
2021,Sanitation,,,,,Niger,NGNI26,23.8
2021,Electricity,,,,,Niger,NGNI26,57.0
2021,Radio,,,,,Niger,NGNI26,43.6
2021,Television,,,,,Niger,NGNI26,37.9
2021,Internet,,,,,Niger,NGNI26,26.3
2021,Telephone,,,,,Niger,NGNI26,92.0
2017,Water,,,,,Ogun,NGOG27,88.6
2017,Sanitation,,,,,Ogun,NGOG27,31.5
