Year,Series,Units,Value
2019,Foreign direct investment inflows as a share of GDP,Percentage (%),0.14
2020,Foreign direct investment inflows as a share of GDP,Percentage (%),0.21
2021,Foreign direct investment inflows as a share of GDP,Percentage (%),0.16
2022,Foreign direct investment inflows as a share of GDP,Percentage (%),0.1
2023,Foreign direct investment inflows as a share of GDP,Percentage (%),0.14
2024,Foreign direct investment inflows as a share of GDP,Percentage (%),0.3
