From,To
Haemoglobin level,Sector
Haemoglobin level,Wealth Index Quintile
Haemoglobin level,Geopolitical Zone
Haemoglobin level,Education Level
Haemoglobin level,Maternity status
Haemoglobin level,Age group
Haemoglobin level,State
