Year,Value,Units,Series
2019,0.14,Percentage (%),Foreign direct investment inflows as a share of GDP
2020,0.21,Percentage (%),Foreign direct investment inflows as a share of GDP
2021,0.16,Percentage (%),Foreign direct investment inflows as a share of GDP
2022,0.1,Percentage (%),Foreign direct investment inflows as a share of GDP
2023,0.14,Percentage (%),Foreign direct investment inflows as a share of GDP
2024,0.3,Percentage (%),Foreign direct investment inflows as a share of GDP
