Year,Value,Units,Series
2016,115.75,"per 100,000 population","Number of refugees per 100,000 population"
2017,117.79,"per 100,000 population","Number of refugees per 100,000 population"
2018,133.41,"per 100,000 population","Number of refugees per 100,000 population"
2019,139.4,"per 100,000 population","Number of refugees per 100,000 population"
2020,162.95,"per 100,000 population","Number of refugees per 100,000 population"
2021,173.45,"per 100,000 population","Number of refugees per 100,000 population"
2022,173.15,"per 100,000 population","Number of refugees per 100,000 population"
2023,177.87,"per 100,000 population","Number of refugees per 100,000 population"
2024,198.51,"per 100,000 population","Number of refugees per 100,000 population"
