Year,Value,Series
2016,2.8,"Material footprint, material footprint per capita, and material footprint per GDP"
2017,2.81,"Material footprint, material footprint per capita, and material footprint per GDP"
2018,2.87,"Material footprint, material footprint per capita, and material footprint per GDP"
2019,2.87,"Material footprint, material footprint per capita, and material footprint per GDP"
2020,2.83,"Material footprint, material footprint per capita, and material footprint per GDP"
2021,2.88,"Material footprint, material footprint per capita, and material footprint per GDP"
2022,2.84,"Material footprint, material footprint per capita, and material footprint per GDP"
2023,2.77,"Material footprint, material footprint per capita, and material footprint per GDP"
