Year,Value,Series
2016,295.06,"Malaria incidence per 1,000 population"
2017,299.07,"Malaria incidence per 1,000 population"
2018,300.69,"Malaria incidence per 1,000 population"
2019,301.91,"Malaria incidence per 1,000 population"
2020,312.65,"Malaria incidence per 1,000 population"
2021,306.46,"Malaria incidence per 1,000 population"
2022,305.3,"Malaria incidence per 1,000 population"
