Year,Value,Units,Series
2016,0.63,Percentage (%),Net ODA received (% of GNI)
2017,0.91,Percentage (%),Net ODA received (% of GNI)
2018,0.8,Percentage (%),Net ODA received (% of GNI)
2019,0.7,Percentage (%),Net ODA received (% of GNI)
2020,0.79,Percentage (%),Net ODA received (% of GNI)
2021,0.82,Percentage (%),Net ODA received (% of GNI)
2022,0.97,Percentage (%),Net ODA received (% of GNI)
