Year,Value,Units,Series,Unit multiplier
2016,28.75,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2017,95.16,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2018,86.81,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2019,32.26,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2020,37.58,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2021,37.25,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2022,41.62,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2023,114.02,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
