Year,Value,Series
2016,17.6,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
2017,17.3,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
2018,17.1,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
2019,16.9,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease"
