Year,Value,Series
2016,9.67,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
2017,9.67,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
2018,9.67,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
2019,9.67,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
2020,9.67,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
2021,9.67,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources
