Year,Value,Series
2017,62.8,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms
2018,65.8,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms
2020,75.41,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms
2021,66.67,Percentage of bloodstream infections due to selected antimicrobial-resistant organisms
