Year,Value,Series
2016,0.86,Red List Index
2017,0.86,Red List Index
2018,0.86,Red List Index
2019,0.86,Red List Index
2020,0.85,Red List Index
2021,0.85,Red List Index
2022,0.85,Red List Index
2023,0.85,Red List Index
2024,0.85,Red List Index
