Year,Value,Series
2016,11.3157,Installed renewable energy generating capacity in developing and developed countries (in watts per capita)
2017,11.0613,Installed renewable energy generating capacity in developing and developed countries (in watts per capita)
2018,10.807,Installed renewable energy generating capacity in developing and developed countries (in watts per capita)
2019,10.6051,Installed renewable energy generating capacity in developing and developed countries (in watts per capita)
2020,10.4403,Installed renewable energy generating capacity in developing and developed countries (in watts per capita)
2021,10.3188,Installed renewable energy generating capacity in developing and developed countries (in watts per capita)
2022,10.0942,Installed renewable energy generating capacity in developing and developed countries (in watts per capita)
