Year,Value,Units,Series
2016,675.3,Mt of CO2 equivalent,Total greenhouse gas emissions per year
2017,684.1,Mt of CO2 equivalent,Total greenhouse gas emissions per year
2018,698.5,Mt of CO2 equivalent,Total greenhouse gas emissions per year
2019,715.1,Mt of CO2 equivalent,Total greenhouse gas emissions per year
2020,590.9,Mt of CO2 equivalent,Total greenhouse gas emissions per year
2021,597.8,Mt of CO2 equivalent,Total greenhouse gas emissions per year
2022,605.8,Mt of CO2 equivalent,Total greenhouse gas emissions per year
2023,610.7,Mt of CO2 equivalent,Total greenhouse gas emissions per year
