Year,Value,Units,Series
2016,5.53,Percentage (%),Total Government Revenue as a Proportion of GDP
2017,6.55,Percentage (%),Total Government Revenue as a Proportion of GDP
2018,7.51,Percentage (%),Total Government Revenue as a Proportion of GDP
2019,6.81,Percentage (%),Total Government Revenue as a Proportion of GDP
2020,5.76,Percentage (%),Total Government Revenue as a Proportion of GDP
2021,6.03,Percentage (%),Total Government Revenue as a Proportion of GDP
2022,6.96,Percentage (%),Total Government Revenue as a Proportion of GDP
2023,8.37,Percentage (%),Total Government Revenue as a Proportion of GDP
