Year,Value,Units,Series
2016,12.68,Percentage (%),Manufacturing employment as a proportion of total employment
2017,13.02,Percentage (%),Manufacturing employment as a proportion of total employment
2018,13.38,Percentage (%),Manufacturing employment as a proportion of total employment
2019,13.77,Percentage (%),Manufacturing employment as a proportion of total employment
2020,14.94,Percentage (%),Manufacturing employment as a proportion of total employment
2021,15.92,Percentage (%),Manufacturing employment as a proportion of total employment
2022,17.55,Percentage (%),Manufacturing employment as a proportion of total employment
2023,17.88,Percentage (%),Manufacturing employment as a proportion of total employment
