Year,Value,Units,Series
2016,9.57,Percentage (%),Debt service as a proportion of exports of goods and services
2017,6.97,Percentage (%),Debt service as a proportion of exports of goods and services
2018,9.76,Percentage (%),Debt service as a proportion of exports of goods and services
2019,9.92,Percentage (%),Debt service as a proportion of exports of goods and services
2020,15.33,Percentage (%),Debt service as a proportion of exports of goods and services
2021,15.01,Percentage (%),Debt service as a proportion of exports of goods and services
2022,10.58,Percentage (%),Debt service as a proportion of exports of goods and services
