Year,Value,Units,Series
2016,30.5,USD,Water Use Efficiency
2017,30.81,USD,Water Use Efficiency
2018,31.26,USD,Water Use Efficiency
2019,31.69,USD,Water Use Efficiency
2020,30.12,USD,Water Use Efficiency
2021,31.46,USD,Water Use Efficiency
