Year,Value,Series
2016,53.96,"Tuberculosis incidence per 100,000 population"
2017,54.91,"Tuberculosis incidence per 100,000 population"
2018,54.34,"Tuberculosis incidence per 100,000 population"
2019,59.79,"Tuberculosis incidence per 100,000 population"
2020,67.18,"Tuberculosis incidence per 100,000 population"
2021,98.25,"Tuberculosis incidence per 100,000 population"
2022,131.73,"Tuberculosis incidence per 100,000 population"
