Year,Series,Units,Value
2016,Annual growth rate of real GDP per employed person,constant 2021 PPP (USD$),13266.0407
2017,Annual growth rate of real GDP per employed person,constant 2021 PPP (USD$),13023.2845
2018,Annual growth rate of real GDP per employed person,constant 2021 PPP (USD$),12928.0074
2019,Annual growth rate of real GDP per employed person,constant 2021 PPP (USD$),12864.5745
2020,Annual growth rate of real GDP per employed person,constant 2021 PPP (USD$),12321.4794
2021,Annual growth rate of real GDP per employed person,constant 2021 PPP (USD$),12382.0668
2022,Annual growth rate of real GDP per employed person,constant 2021 PPP (USD$),12219.627
2023,Annual growth rate of real GDP per employed person,constant 2021 PPP (USD$),11934.4702
