Year,Series,Units,Value
2017,Amount in United States dollars committed to public-private partnerships for infrastructure,USD,70000000
2020,Amount in United States dollars committed to public-private partnerships for infrastructure,USD,2600000000
2021,Amount in United States dollars committed to public-private partnerships for infrastructure,USD,40000000
