Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Form of violence,Units,GeoCode,Value
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Anambra,Emotional Violence,Percentage (%),NGAN04,35.2
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Bauchi,Emotional Violence,Percentage (%),NGBA05,50.2
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Bayelsa,Emotional Violence,Percentage (%),NGBY06,27.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Benue,Emotional Violence,Percentage (%),NGBE07,42.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Borno,Emotional Violence,Percentage (%),NGBO08,18.9
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Cross River,Emotional Violence,Percentage (%),NGXR09,27.0
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Delta,Emotional Violence,Percentage (%),NGDE10,39.4
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Ebonyi,Emotional Violence,Percentage (%),NGEB11,29.3
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Edo,Emotional Violence,Percentage (%),NGED12,41.1
2018,"Proportion of ever-partnered women and girls aged 15 years and older subjected to physical, sexual or psychological violence by a current or former intimate partner in the previous 12 months, by form of violence and by age",,,,,,Ekiti,Emotional Violence,Percentage (%),NGEK13,15.6
