Year,Series,Value
2016,Proportion of value added of ICT to total value added,8.9
2017,Proportion of value added of ICT to total value added,8.66
2018,Proportion of value added of ICT to total value added,9.46
2019,Proportion of value added of ICT to total value added,10.3
2020,Proportion of value added of ICT to total value added,12.18
2021,Proportion of value added of ICT to total value added,12.63
2022,Proportion of value added of ICT to total value added,13.57
2023,Proportion of value added of ICT to total value added,14.38
