Year,Series,Gender,Sector,Ethnicity,Education level,Wealth Index Quintile,Geopolitical zone,State,Age group,GeoCode,Value
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Ebonyi,,NGEB11,51.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Edo,,NGED12,21.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Ekiti,,NGEK13,7.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Enugu,,NGEN14,19.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Gombe,,NGGO15,45.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Imo,,NGIM16,6.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Jigawa,,NGJI17,42.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Kaduna,,NGKD18,33.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Kano,,NGKN19,29.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Katsina,,NGKT20,34.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Kebbi,,NGKE21,63.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Kogi,,NGKO22,18.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Kwara,,NGKW23,11.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Lagos,,NGLA24,2.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Nasarawa,,NGNA25,46.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Niger,,NGNI26,29.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Ogun,,NGOG27,13.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Ondo,,NGON28,12.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Osun,,NGOS29,6.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Oyo,,NGOY30,4.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Plateau,,NGPL31,60.3
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Rivers,,NGRI32,43.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Sokoto,,NGSO33,4.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Taraba,,NGTA34,29.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Yobe,,NGYO35,59.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Zamfara,,NGZA36,27.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Male,,,,,,Federal Capital Territory,,NGFC37,61.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,,NG,18.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,Urban,,,,,,,NG,16.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,Rural,,,,,,,NG,20.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,15-19,NG,20.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,15-17,NG,20.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,18-19,NG,20.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,20-24,NG,19.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,25-29,NG,20.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,30-34,NG,18.4
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,35-39,NG,16.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,40-44,NG,17.0
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,,,,,45-49,NG,17.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,None,,,,,NG,21.2
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,Primary,,,,,NG,17.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,Junior secondary,,,,,NG,18.1
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,Senior secondary,,,,,NG,18.7
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,,Higher/tertiary,,,,,NG,16.5
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Hausa,,,,,,NG,21.8
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Igbo,,,,,,NG,19.6
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Yoruba,,,,,,NG,9.9
2021,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months,Female,,Fulani,,,,,,NG,18.9
