Year,Series,Units,Value
2017,Forest area (% of land area),Percentage (%),24.28
2018,Forest area (% of land area),Percentage (%),24.1
2019,Forest area (% of land area),Percentage (%),23.93
2020,Forest area (% of land area),Percentage (%),23.75
2021,Forest area (% of land area),Percentage (%),23.57
