Year,Series,Sector,Age group,Education level,Geopolitical zone,Wealth Index Quintile,State,Religion,Marital status,Units,GeoCode,Value
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Bayelsa,,,Percentage (%),NGBY06,4.4
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Benue,,,Percentage (%),NGBE07,2.9
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Borno,,,Percentage (%),NGBO08,3.1
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Cross River,,,Percentage (%),NGXR09,0.6
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Delta,,,Percentage (%),NGDE10,3.2
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Ebonyi,,,Percentage (%),NGEB11,10.6
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Edo,,,Percentage (%),NGED12,4.9
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Ekiti,,,Percentage (%),NGEK13,2.1
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Enugu,,,Percentage (%),NGEN14,2.5
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Gombe,,,Percentage (%),NGGO15,22.0
2018,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner in the previous 12 months, by age and place of occurrence",,,,,,Imo,,,Percentage (%),NGIM16,6.5
