Year,Series,Unit multiplier,Units,Value
2016,Total assistance for development,Millions,USD,9363.47
2017,Total assistance for development,Millions,USD,8334.99
2018,Total assistance for development,Millions,USD,3913.92
2019,Total assistance for development,Millions,USD,6396.12
2020,Total assistance for development,Millions,USD,3554.39
2021,Total assistance for development,Millions,USD,6106.26
2022,Total assistance for development,Millions,USD,3501.93
2023,Total assistance for development,Millions,USD,4898.4
