Year,Series,Units,Value
2016,Installed renewable energy-generating capacity,watts per capita,11.32
2017,Installed renewable energy-generating capacity,watts per capita,11.06
2018,Installed renewable energy-generating capacity,watts per capita,10.81
2019,Installed renewable energy-generating capacity,watts per capita,10.61
2020,Installed renewable energy-generating capacity,watts per capita,10.44
2021,Installed renewable energy-generating capacity,watts per capita,10.32
2022,Installed renewable energy-generating capacity,watts per capita,10.09
