Year,Series,Value
2016,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,55.46
2017,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,58.15
2018,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,60.32
2019,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,59.01
2020,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,59.02
2021,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,64.45
2022,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,51.51
2023,Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff,57.67
