Year,Series,Value
2016,"Malaria incidence per 1,000 population",295.06
2017,"Malaria incidence per 1,000 population",299.07
2018,"Malaria incidence per 1,000 population",300.69
2019,"Malaria incidence per 1,000 population",301.91
2020,"Malaria incidence per 1,000 population",312.65
2021,"Malaria incidence per 1,000 population",306.46
2022,"Malaria incidence per 1,000 population",305.3
