Year,Series,Units,Value
2016,"Number of refugees per 100,000 population","per 100,000 population",119.88
2017,"Number of refugees per 100,000 population","per 100,000 population",121.81
2018,"Number of refugees per 100,000 population","per 100,000 population",137.66
2019,"Number of refugees per 100,000 population","per 100,000 population",143.43
2020,"Number of refugees per 100,000 population","per 100,000 population",167.1
2021,"Number of refugees per 100,000 population","per 100,000 population",177.36
2022,"Number of refugees per 100,000 population","per 100,000 population",176.54
2023,"Number of refugees per 100,000 population","per 100,000 population",180.86
