Year,Series,Units,Value
2016,Renewable energy (% of Total energy production),Percentage (%),28.52
2017,Renewable energy (% of Total energy production),Percentage (%),24.44
2018,Renewable energy (% of Total energy production),Percentage (%),22.81
2019,Renewable energy (% of Total energy production),Percentage (%),18.36
2020,Renewable energy (% of Total energy production),Percentage (%),23.31
2021,Renewable energy (% of Total energy production),Percentage (%),22.82
2022,Renewable energy (% of Total energy production),Percentage (%),26.7
2023,Renewable energy (% of Total energy production),Percentage (%),24.75
2016,Volume of renewable energy production,GWh,8171.6
2017,Volume of renewable energy production,GWh,7746.76
2018,Volume of renewable energy production,GWh,7691.74
2019,Volume of renewable energy production,GWh,6165.81
2020,Volume of renewable energy production,GWh,8213.82
2021,Volume of renewable energy production,GWh,8390.16
2022,Volume of renewable energy production,GWh,9328.98
2023,Volume of renewable energy production,GWh,9086.0
2016,Total electricity production from renewable & non-renwable sources,GWh,28657.0
2017,Total electricity production from renewable & non-renwable sources,GWh,31696.62
2018,Total electricity production from renewable & non-renwable sources,GWh,33727.4
2019,Total electricity production from renewable & non-renwable sources,GWh,33591.2
2020,Total electricity production from renewable & non-renwable sources,GWh,35230.22
2021,Total electricity production from renewable & non-renwable sources,GWh,36769.97
2022,Total electricity production from renewable & non-renwable sources,GWh,34942.27
2023,Total electricity production from renewable & non-renwable sources,GWh,36710.0
