Year,Series,Units,Value
2016,Total tax revenue as % of GDP,Percentage (%),8.28
2017,Total tax revenue as % of GDP,Percentage (%),9.02
2018,Total tax revenue as % of GDP,Percentage (%),10.36
2019,Total tax revenue as % of GDP,Percentage (%),10.2
2020,Total tax revenue as % of GDP,Percentage (%),8.4
2021,Total tax revenue as % of GDP,Percentage (%),10.86
