Year,Series,Units,Value
2016,Prevalence of undernourishment,Percentage (%),10.7
2017,Prevalence of undernourishment,Percentage (%),11.3
2018,Prevalence of undernourishment,Percentage (%),11.8
2019,Prevalence of undernourishment,Percentage (%),13.6
2020,Prevalence of undernourishment,Percentage (%),15.1
2021,Prevalence of undernourishment,Percentage (%),17.0
2022,Prevalence of undernourishment,Percentage (%),18.0
