Year,Value,Series
2016,6.46,Energy intensity measured in terms of primary energy and GDP
2017,6.41,Energy intensity measured in terms of primary energy and GDP
2018,6.27,Energy intensity measured in terms of primary energy and GDP
2019,6.5,Energy intensity measured in terms of primary energy and GDP
2020,6.64,Energy intensity measured in terms of primary energy and GDP
2021,6.57,Energy intensity measured in terms of primary energy and GDP
