Year,Value,Units,Series
2016,1041498,metric tons,Total Fiseries Production
2017,1212475,metric tons,Total Fiseries Production
2018,1169478,metric tons,Total Fiseries Production
2019,1114556,metric tons,Total Fiseries Production
2020,1044812,metric tons,Total Fiseries Production
2021,1080855,metric tons,Total Fiseries Production
2022,1043230,metric tons,Total Fiseries Production
2023,1058435,metric tons,Total Fiseries Production
