Year,Value,Series
2016,12.73,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population"
2017,9.77,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population"
2018,7.71,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population"
2019,9.85,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population"
2020,-9.59,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population"
2021,11.0,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population"
2022,19.92,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population"
2023,8.93,"Annualized average growth rate in per capita real survey mean consumption or income, bottom 40% of population"
