Year,Value,Units,Series
2021,1535590971,USD,Total Value of Inward and Outward illicit Financial Flows
2022,1562390719,USD,Total Value of Inward and Outward illicit Financial Flows
2023,1578704241,USD,Total Value of Inward and Outward illicit Financial Flows
