Year,Value,Units,Series
2017,24.28,Percentage (%),Forest area (% of land area)
2018,24.1,Percentage (%),Forest area (% of land area)
2019,23.93,Percentage (%),Forest area (% of land area)
2020,23.75,Percentage (%),Forest area (% of land area)
2021,23.57,Percentage (%),Forest area (% of land area)
