Year,Value,Series
2016,214.59,Population density (people per sq. km of land area)
2017,219.87,Population density (people per sq. km of land area)
2018,225.02,Population density (people per sq. km of land area)
2019,230.01,Population density (people per sq. km of land area)
2020,234.96,Population density (people per sq. km of land area)
2021,239.94,Population density (people per sq. km of land area)
2022,245.01,Population density (people per sq. km of land area)
2023,250.0,Population density (people per sq. km of land area)
