Year,Value,Units,Series
2016,68.4,Percentage (%),Government recurrent expenditures as a proportion of original approved budget
2017,65.49,Percentage (%),Government recurrent expenditures as a proportion of original approved budget
2018,62.23,Percentage (%),Government recurrent expenditures as a proportion of original approved budget
2019,79.25,Percentage (%),Government recurrent expenditures as a proportion of original approved budget
2020,77.92,Percentage (%),Government recurrent expenditures as a proportion of original approved budget
2021,67.3,Percentage (%),Government recurrent expenditures as a proportion of original approved budget
2022,64.24,Percentage (%),Government recurrent expenditures as a proportion of original approved budget
2023,69.67,Percentage (%),Government recurrent expenditures as a proportion of original approved budget
2016,10.78,Percentage (%),Government capital expenditures as a proportion of original approved budget
2017,17.02,Percentage (%),Government capital expenditures as a proportion of original approved budget
2018,18.44,Percentage (%),Government capital expenditures as a proportion of original approved budget
2019,25.93,Percentage (%),Government capital expenditures as a proportion of original approved budget
2020,15.37,Percentage (%),Government capital expenditures as a proportion of original approved budget
2021,18.56,Percentage (%),Government capital expenditures as a proportion of original approved budget
2022,18.3,Percentage (%),Government capital expenditures as a proportion of original approved budget
2023,21.88,Percentage (%),Government capital expenditures as a proportion of original approved budget
