Year,Value,Units,Series
2017,-1.8,Percentage (%),Annual growth rate of real GDP per capita
2018,-0.67,Percentage (%),Annual growth rate of real GDP per capita
2019,-0.38,Percentage (%),Annual growth rate of real GDP per capita
2020,-4.25,Percentage (%),Annual growth rate of real GDP per capita
2021,1.09,Percentage (%),Annual growth rate of real GDP per capita
2022,-0.62,Percentage (%),Annual growth rate of real GDP per capita
