Year,Value,Units,Series,Unit multiplier
2016,775.55,Naira,"Proportion of total government spending on essential services (education, health and social protection)",Billion
2017,931.68,Naira,"Proportion of total government spending on essential services (education, health and social protection)",Billion
2018,1083.73,Naira,"Proportion of total government spending on essential services (education, health and social protection)",Billion
2019,1393.08,Naira,"Proportion of total government spending on essential services (education, health and social protection)",Billion
2020,1519.12,Naira,"Proportion of total government spending on essential services (education, health and social protection)",Billion
2021,1438.07,Naira,"Proportion of total government spending on essential services (education, health and social protection)",Billion
2022,1628.99,Naira,"Proportion of total government spending on essential services (education, health and social protection)",Billion
2023,1751.7,Naira,"Proportion of total government spending on essential services (education, health and social protection)",Billion
