Year,Value,Units,Series,Unit multiplier
2016,28.75,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2017,89.48,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2018,80.32,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2019,31.1,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2020,35.91,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2021,35.05,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
2022,39.23,USD,Official development assistance on conservation and sustainable use of biodiversity,Millions
