Year,Value,Units,Series
2016,8.28,Percentage (%),Total tax revenue as % of GDP
2017,9.02,Percentage (%),Total tax revenue as % of GDP
2018,10.36,Percentage (%),Total tax revenue as % of GDP
2019,10.2,Percentage (%),Total tax revenue as % of GDP
2020,8.4,Percentage (%),Total tax revenue as % of GDP
2021,10.86,Percentage (%),Total tax revenue as % of GDP
