Year,Value,Series
2016,54.01,"Proportion of urban population living in slums, informal settlements or inadequate housing"
2018,51.49,"Proportion of urban population living in slums, informal settlements or inadequate housing"
2020,48.98,"Proportion of urban population living in slums, informal settlements or inadequate housing"
2022,48.5,"Proportion of urban population living in slums, informal settlements or inadequate housing"
