Year,Value,Units,Series
2016,73.75,Percentage (%),Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas
2017,73.75,Percentage (%),Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas
2018,73.75,Percentage (%),Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas
2019,73.75,Percentage (%),Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas
2020,73.75,Percentage (%),Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas
2021,73.75,Percentage (%),Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas
2022,73.75,Percentage (%),Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas
2023,73.75,Percentage (%),Average proportion of Freshwater Key Biodiversity Areas (KBAs) covered by protected areas
2016,79.88,Percentage (%),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas
2017,79.88,Percentage (%),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas
2018,79.88,Percentage (%),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas
2019,79.88,Percentage (%),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas
2020,79.88,Percentage (%),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas
2021,79.88,Percentage (%),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas
2022,79.88,Percentage (%),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas
2023,79.88,Percentage (%),Average proportion of Terrestrial Key Biodiversity Areas (KBAs) covered by protected areas
