Year,Value,Units,Series
2017,19.86,Percentage (%),broadband Penetration
2018,31.48,Percentage (%),broadband Penetration
2019,37.8,Percentage (%),broadband Penetration
2020,45.02,Percentage (%),broadband Penetration
2021,40.88,Percentage (%),broadband Penetration
2022,47.36,Percentage (%),broadband Penetration
2023,43.71,Percentage (%),broadband Penetration
2024,44.43,Percentage (%),broadband Penetration
