Year,Value,Units,Series
2017,0.66,Percentage (%),Research and development expenditure as a proportion of GDP
2018,0.69,Percentage (%),Research and development expenditure as a proportion of GDP
2019,0.61,Percentage (%),Research and development expenditure as a proportion of GDP
2020,0.67,Percentage (%),Research and development expenditure as a proportion of GDP
2021,0.62,Percentage (%),Research and development expenditure as a proportion of GDP
2022,0.59,Percentage (%),Research and development expenditure as a proportion of GDP
2023,0.59,Percentage (%),Research and development expenditure as a proportion of GDP
