Year,Value,Units,Series
2016,13266.0407,constant 2021 PPP (USD$),Annual growth rate of real GDP per employed person
2017,13023.2845,constant 2021 PPP (USD$),Annual growth rate of real GDP per employed person
2018,12928.0074,constant 2021 PPP (USD$),Annual growth rate of real GDP per employed person
2019,12864.5745,constant 2021 PPP (USD$),Annual growth rate of real GDP per employed person
2020,12321.4794,constant 2021 PPP (USD$),Annual growth rate of real GDP per employed person
2021,12382.0668,constant 2021 PPP (USD$),Annual growth rate of real GDP per employed person
2022,12219.627,constant 2021 PPP (USD$),Annual growth rate of real GDP per employed person
2023,11934.4702,constant 2021 PPP (USD$),Annual growth rate of real GDP per employed person
