Year,Value,Units,Series,Unit multiplier
2016,9363.47,USD,Total assistance for development,Millions
2017,8334.99,USD,Total assistance for development,Millions
2018,3913.92,USD,Total assistance for development,Millions
2019,6396.12,USD,Total assistance for development,Millions
2020,3554.39,USD,Total assistance for development,Millions
2021,6106.26,USD,Total assistance for development,Millions
2022,3501.93,USD,Total assistance for development,Millions
