Year,Value,Units,Series
2016,0.63,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income
2017,0.91,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income
2018,0.8,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income
2019,0.7,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income
2020,0.79,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income
2021,0.82,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income
2022,0.97,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income
2023,1.02,Percentage (%),Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country's gross national income
