Year,Value,Units,Series,Unit multiplier
2016,7858643.4,Naira,Agricultural export subsidies,Thousand
2017,5849388.7,Naira,Agricultural export subsidies,Thousand
2018,4377626.3,Naira,Agricultural export subsidies,Thousand
2019,4068332.5,Naira,Agricultural export subsidies,Thousand
2020,4321663.9,Naira,Agricultural export subsidies,Thousand
2021,5786729.9,Naira,Agricultural export subsidies,Thousand
2022,8481234.8,Naira,Agricultural export subsidies,Thousand
2023,8396763.6,Naira,Agricultural export subsidies,Thousand
