Year,Value,Units,Series
2016,10.7,Percentage (%),Prevalence of undernourishment
2017,11.3,Percentage (%),Prevalence of undernourishment
2018,11.8,Percentage (%),Prevalence of undernourishment
2019,13.6,Percentage (%),Prevalence of undernourishment
2020,15.1,Percentage (%),Prevalence of undernourishment
2021,17.0,Percentage (%),Prevalence of undernourishment
2022,18.0,Percentage (%),Prevalence of undernourishment
