Year,Value,Series
2017,10,Number of people who died or disappeared in the process of migration towards an international destination
2018,4,Number of people who died or disappeared in the process of migration towards an international destination
2019,5,Number of people who died or disappeared in the process of migration towards an international destination
2020,26,Number of people who died or disappeared in the process of migration towards an international destination
2021,3,Number of people who died or disappeared in the process of migration towards an international destination
