Year,Series,Sector,State,Age group,GeoCode,Value
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Borno,,NGBO08,17.1
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Cross River,,NGXR09,12.7
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Delta,,NGDE10,11.3
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Ebonyi,,NGEB11,26.2
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Edo,,NGED12,23.7
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Ekiti,,NGEK13,17.7
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Enugu,,NGEN14,7.3
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Gombe,,NGGO15,27.8
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Imo,,NGIM16,19.4
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Jigawa,,NGJI17,2.3
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Kaduna,,NGKD18,15.9
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Kano,,NGKN19,2.9
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Katsina,,NGKT20,4.6
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Kebbi,,NGKE21,6.6
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Kogi,,NGKO22,14.7
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Kwara,,NGKW23,15.5
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Lagos,,NGLA24,7.0
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Nasarawa,,NGNA25,13.1
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Niger,,NGNI26,21.4
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Ogun,,NGOG27,11.5
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Ondo,,NGON28,8.2
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Osun,,NGOS29,22.5
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Oyo,,NGOY30,6.9
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Plateau,,NGPL31,16.6
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Rivers,,NGRI32,18.5
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Sokoto,,NGSO33,2.2
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Taraba,,NGTA34,25.1
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Yobe,,NGYO35,3.6
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Zamfara,,NGZA36,6.3
2018,Percentage of ever-married women age 15-49 who have experieced physical violence in the past 12 months,,Federal Capital Territory,,NGFC37,7.9
