Year,Series,Units,Value
2016,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,Percentage (%),63
2017,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,Percentage (%),91
2018,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,Percentage (%),80
2019,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,Percentage (%),70
2020,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,Percentage (%),79
2021,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,Percentage (%),82
2022,Total official development assistance grants from all donors that focus on poverty reduction as a share of the recipient country’s gross national income,Percentage (%),97
