Year,Access to Basic Services,Place of Residence,Wealth Index Quintile,Geopolitical zones,Education Status,State,Value
2021,Radio,,,,,Plateau,33.2
2021,Television,,,,,Plateau,22.7
2021,Internet,,,,,Plateau,33.5
2021,Telephone,,,,,Plateau,87.6
2017,Water,,,,,Rivers,83.5
2017,Sanitation,,,,,Rivers,38.7
2017,Electricity,,,,,Rivers,80.9
2017,Radio,,,,,Rivers,64.1
2017,Television,,,,,Rivers,71.6
2017,Internet,,,,,Rivers,
2017,Telephone,,,,,Rivers,94.3
2021,Water,,,,,Rivers,85.5
2021,Sanitation,,,,,Rivers,38.9
2021,Electricity,,,,,Rivers,84.0
2021,Radio,,,,,Rivers,44.7
2021,Television,,,,,Rivers,57.2
2021,Internet,,,,,Rivers,43.4
2021,Telephone,,,,,Rivers,90.7
2017,Water,,,,,Sokoto,32.6
2017,Sanitation,,,,,Sokoto,40.7
2017,Electricity,,,,,Sokoto,37.5
2017,Radio,,,,,Sokoto,55.8
2017,Television,,,,,Sokoto,20.5
2017,Internet,,,,,Sokoto,
2017,Telephone,,,,,Sokoto,44.9
2021,Water,,,,,Sokoto,36.1
2021,Sanitation,,,,,Sokoto,28.2
2021,Electricity,,,,,Sokoto,36.9
2021,Radio,,,,,Sokoto,36.2
2021,Television,,,,,Sokoto,18.4
2021,Internet,,,,,Sokoto,22.7
2021,Telephone,,,,,Sokoto,65.1
2017,Water,,,,,Taraba,38.2
2017,Sanitation,,,,,Taraba,31.0
2017,Electricity,,,,,Taraba,17.7
2017,Radio,,,,,Taraba,47.8
2017,Television,,,,,Taraba,26.7
2017,Internet,,,,,Taraba,
2017,Telephone,,,,,Taraba,64.0
2021,Water,,,,,Taraba,29.1
2021,Sanitation,,,,,Taraba,28.5
2021,Electricity,,,,,Taraba,14.7
2021,Radio,,,,,Taraba,30.5
2021,Television,,,,,Taraba,9.8
2021,Internet,,,,,Taraba,34.1
2021,Telephone,,,,,Taraba,82.6
2017,Water,,,,,Yobe,63.2
2017,Sanitation,,,,,Yobe,20.7
2017,Electricity,,,,,Yobe,28.5
2017,Radio,,,,,Yobe,52.4
2017,Television,,,,,Yobe,17.7
2017,Internet,,,,,Yobe,
2017,Telephone,,,,,Yobe,61.1
2021,Water,,,,,Yobe,66.1
2021,Sanitation,,,,,Yobe,39.7
2021,Electricity,,,,,Yobe,22.3
2021,Radio,,,,,Yobe,29.5
2021,Television,,,,,Yobe,9.4
2021,Internet,,,,,Yobe,15.5
2021,Telephone,,,,,Yobe,73.9
2017,Water,,,,,Zamfara,51.5
2017,Sanitation,,,,,Zamfara,41.2
2017,Electricity,,,,,Zamfara,27.7
2017,Radio,,,,,Zamfara,55.9
2017,Television,,,,,Zamfara,19.0
2017,Internet,,,,,Zamfara,
2017,Telephone,,,,,Zamfara,57.8
2021,Water,,,,,Zamfara,65.0
2021,Sanitation,,,,,Zamfara,35.3
2021,Electricity,,,,,Zamfara,35.8
2021,Radio,,,,,Zamfara,64.8
2021,Television,,,,,Zamfara,10.5
2021,Internet,,,,,Zamfara,15.5
2021,Telephone,,,,,Zamfara,82.0
2017,Water,,,,,FCT,75.6
2017,Sanitation,,,,,FCT,40.9
2017,Electricity,,,,,FCT,77.9
2017,Radio,,,,,FCT,67.9
2017,Television,,,,,FCT,69.3
2017,Internet,,,,,FCT,
2017,Telephone,,,,,FCT,82.1
2021,Water,,,,,FCT,92.9
2021,Sanitation,,,,,FCT,60.2
2021,Electricity,,,,,FCT,76.1
2021,Radio,,,,,FCT,53.9
2021,Television,,,,,FCT,63.7
2021,Internet,,,,,FCT,55.7
2021,Telephone,,,,,FCT,94.1
