Year,Access to Basic Services,Place of Residence,Wealth Index Quintile,Geopolitical zones,Education Status,State,Value
2017,Internet,,,South South,,,
2017,Telephone,,,South South,,,84.4
2021,Water,,,South South,,,75.8
2021,Sanitation,,,South South,,,40.4
2021,Electricity,,,South South,,,
2021,Radio,,,South South,,,43.0
2021,Television,,,South South,,,50.4
2021,Internet,,,South South,,,36.8
2021,Telephone,,,South South,,,87.0
2017,Water,,,South West,,,87.3
2017,Sanitation,,,South West,,,30.6
2017,Electricity,,,South West,,,78.1
2017,Radio,,,South West,,,65.3
2017,Television,,,South West,,,69.9
2017,Internet,,,South West,,,
2017,Telephone,,,South West,,,87.9
2021,Water,,,South West,,,86.9
2021,Sanitation,,,South West,,,32.9
2021,Electricity,,,South West,,,
2021,Radio,,,South West,,,62.3
2021,Television,,,South West,,,60.0
2021,Internet,,,South West,,,42.3
2021,Telephone,,,South West,,,92.4
2017,Water,,,,None,,54.6
2017,Sanitation,,,,None,,24.4
2017,Electricity,,,,None,,
2017,Radio,,,,None,,
2017,Television,,,,None,,
2017,Internet,,,,None,,
2017,Telephone,,,,None,,
2021,Water,,,,None,,57.3
2021,Sanitation,,,,None,,26.8
2021,Electricity,,,,None,,
2021,Radio,,,,None,,27.9
2021,Television,,,,None,,4.5
2021,Internet,,,,None,,6.2
2021,Telephone,,,,None,,59.6
2017,Water,,,,Primary,,50.2
2017,Sanitation,,,,Primary,,33.0
2017,Electricity,,,,Primary,,
2017,Radio,,,,Primary,,
2017,Television,,,,Primary,,
2017,Internet,,,,Primary,,
2017,Telephone,,,,Primary,,
2021,Water,,,,Primary,,69.4
2021,Sanitation,,,,Primary,,33.7
2021,Electricity,,,,Primary,,
2021,Radio,,,,Primary,,44.1
2021,Television,,,,Primary,,30.5
2021,Internet,,,,Primary,,20.4
2021,Telephone,,,,Primary,,84.9
2017,Water,,,,Junior Secondary,,65.3
2017,Sanitation,,,,Junior Secondary,,31.7
2017,Electricity,,,,Junior Secondary,,
2017,Radio,,,,Junior Secondary,,
2017,Television,,,,Junior Secondary,,
2017,Internet,,,,Junior Secondary,,
2017,Telephone,,,,Junior Secondary,,
2021,Water,,,,Junior Secondary,,71.0
2021,Sanitation,,,,Junior Secondary,,34.9
2021,Electricity,,,,Junior Secondary,,
2021,Radio,,,,Junior Secondary,,41.0
2021,Television,,,,Junior Secondary,,33.9
2021,Internet,,,,Junior Secondary,,20.3
2021,Telephone,,,,Junior Secondary,,85.6
2017,Water,,,,Senior Secondary,,73.3
2017,Sanitation,,,,Senior Secondary,,36.1
2017,Electricity,,,,Senior Secondary,,
2017,Radio,,,,Senior Secondary,,
2017,Television,,,,Senior Secondary,,
2017,Internet,,,,Senior Secondary,,
2017,Telephone,,,,Senior Secondary,,
2021,Water,,,,Senior Secondary,,80.0
2021,Sanitation,,,,Senior Secondary,,37.3
2021,Electricity,,,,Senior Secondary,,
2021,Radio,,,,Senior Secondary,,51.2
2021,Television,,,,Senior Secondary,,52.5
2021,Internet,,,,Senior Secondary,,38.5
2021,Telephone,,,,Senior Secondary,,93.9
2017,Water,,,,Higher/Tertiary,,80.4
2017,Sanitation,,,,Higher/Tertiary,,61.8
2017,Electricity,,,,Higher/Tertiary,,
2017,Radio,,,,Higher/Tertiary,,
2017,Television,,,,Higher/Tertiary,,
2017,Internet,,,,Higher/Tertiary,,
2017,Telephone,,,,Higher/Tertiary,,
2021,Water,,,,Higher/Tertiary,,86.5
2021,Sanitation,,,,Higher/Tertiary,,65.7
2021,Electricity,,,,Higher/Tertiary,,
2021,Radio,,,,Higher/Tertiary,,61.3
2021,Television,,,,Higher/Tertiary,,71.1
2021,Internet,,,,Higher/Tertiary,,68.4
2021,Telephone,,,,Higher/Tertiary,,98.4
2017,Water,,,,,Abia,83.5
2017,Sanitation,,,,,Abia,53.1
2017,Electricity,,,,,Abia,80.4
2017,Radio,,,,,Abia,66.7
2017,Television,,,,,Abia,67.2
2017,Internet,,,,,Abia,
2017,Telephone,,,,,Abia,83.5
2021,Water,,,,,Abia,81.6
2021,Sanitation,,,,,Abia,49.0
2021,Electricity,,,,,Abia,80.2
2021,Radio,,,,,Abia,54.7
