Year,Series,Sector,Category of school,School type,Geopolitical zone,State,Type of service,Units,GeoCode,Value
2021,"Proportion of schools access basic services, by type of service",,,,,Ondo,Avaliability of perimeter fencing,Percentage (%),NGON28,36.3
2021,"Proportion of schools access basic services, by type of service",,,,,Osun,Avaliability of perimeter fencing,Percentage (%),NGOS29,42.1
2021,"Proportion of schools access basic services, by type of service",,,,,Oyo,Avaliability of perimeter fencing,Percentage (%),NGOY30,34.5
2021,"Proportion of schools access basic services, by type of service",,,,,Plateau,Avaliability of perimeter fencing,Percentage (%),NGPL31,17.2
2021,"Proportion of schools access basic services, by type of service",,,,,Rivers,Avaliability of perimeter fencing,Percentage (%),NGRI32,59.0
2021,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Avaliability of perimeter fencing,Percentage (%),NGSO33,59.8
2021,"Proportion of schools access basic services, by type of service",,,,,Taraba,Avaliability of perimeter fencing,Percentage (%),NGTA34,19.7
2021,"Proportion of schools access basic services, by type of service",,,,,Yobe,Avaliability of perimeter fencing,Percentage (%),NGYO35,30.8
2021,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Avaliability of perimeter fencing,Percentage (%),NGZA36,20.7
2021,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Avaliability of perimeter fencing,Percentage (%),NGFC37,56.6
2021,"Proportion of schools access basic services, by type of service",,,,,,Availability of toilet/laterine,Percentage (%),NG,60.9
2021,"Proportion of schools access basic services, by type of service",,,,North Central,,Availability of toilet/laterine,Percentage (%),NGNCZ06,50.1
2021,"Proportion of schools access basic services, by type of service",,,,North East,,Availability of toilet/laterine,Percentage (%),NGNEZ05,62.0
2021,"Proportion of schools access basic services, by type of service",,,,North West,,Availability of toilet/laterine,Percentage (%),NGNWZ04,68.2
2021,"Proportion of schools access basic services, by type of service",,,,South East,,Availability of toilet/laterine,Percentage (%),NGSEZ03,44.1
2021,"Proportion of schools access basic services, by type of service",,,,South South,,Availability of toilet/laterine,Percentage (%),NGSSZ02,57.3
2021,"Proportion of schools access basic services, by type of service",,,,South West,,Availability of toilet/laterine,Percentage (%),NGSWZ01,72.1
2020,"Proportion of schools access basic services, by type of service",Urban,,,,,Availability of toilet/laterine,Percentage (%),NG,79.5
2021,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Availability of toilet/laterine,Percentage (%),NG,79.9
2021,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Availability of toilet/laterine,Percentage (%),NG,79.4
2021,"Proportion of schools access basic services, by type of service",Rural,,,,,Availability of toilet/laterine,Percentage (%),NG,52.2
2021,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Availability of toilet/laterine,Percentage (%),NG,47.7
2021,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Availability of toilet/laterine,Percentage (%),NG,55.8
2021,"Proportion of schools access basic services, by type of service",Small Town,,,,,Availability of toilet/laterine,Percentage (%),NG,69.7
2021,"Proportion of schools access basic services, by type of service",,Normal,,,,Availability of toilet/laterine,Percentage (%),NG,60.8
2021,"Proportion of schools access basic services, by type of service",,Special Needs,,,,Availability of toilet/laterine,Percentage (%),NG,71.6
2021,"Proportion of schools access basic services, by type of service",,,Primary,,,Availability of toilet/laterine,Percentage (%),NG,58.7
2021,"Proportion of schools access basic services, by type of service",,,Secondary,,,Availability of toilet/laterine,Percentage (%),NG,69.0
2021,"Proportion of schools access basic services, by type of service",,,,,Abia,Availability of toilet/laterine,Percentage (%),NGAB01,63.4
2021,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Availability of toilet/laterine,Percentage (%),NGAD02,52.2
2021,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Availability of toilet/laterine,Percentage (%),NGAK03,57.9
2021,"Proportion of schools access basic services, by type of service",,,,,Anambra,Availability of toilet/laterine,Percentage (%),NGAN04,74.2
2021,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Availability of toilet/laterine,Percentage (%),NGBA05,59.9
2021,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Availability of toilet/laterine,Percentage (%),NGBY06,33.1
2021,"Proportion of schools access basic services, by type of service",,,,,Benue,Availability of toilet/laterine,Percentage (%),NGBE07,67.0
2021,"Proportion of schools access basic services, by type of service",,,,,Borno,Availability of toilet/laterine,Percentage (%),NGBO08,72.8
2021,"Proportion of schools access basic services, by type of service",,,,,Cross River,Availability of toilet/laterine,Percentage (%),NGXR09,48.9
2021,"Proportion of schools access basic services, by type of service",,,,,Delta,Availability of toilet/laterine,Percentage (%),NGDE10,63.2
2021,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Availability of toilet/laterine,Percentage (%),NGEB11,24.8
2021,"Proportion of schools access basic services, by type of service",,,,,Edo,Availability of toilet/laterine,Percentage (%),NGED12,67.0
2021,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Availability of toilet/laterine,Percentage (%),NGEK13,48.0
2021,"Proportion of schools access basic services, by type of service",,,,,Enugu,Availability of toilet/laterine,Percentage (%),NGEN14,36.2
2021,"Proportion of schools access basic services, by type of service",,,,,Gombe,Availability of toilet/laterine,Percentage (%),NGGO15,61.8
2021,"Proportion of schools access basic services, by type of service",,,,,Imo,Availability of toilet/laterine,Percentage (%),NGIM16,25.1
2021,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Availability of toilet/laterine,Percentage (%),NGJI17,76.0
2021,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Availability of toilet/laterine,Percentage (%),NGKD18,62.3
2021,"Proportion of schools access basic services, by type of service",,,,,Kano,Availability of toilet/laterine,Percentage (%),NGKN19,62.6
2021,"Proportion of schools access basic services, by type of service",,,,,Katsina,Availability of toilet/laterine,Percentage (%),NGKT20,86.1
2021,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Availability of toilet/laterine,Percentage (%),NGKE21,63.6
2021,"Proportion of schools access basic services, by type of service",,,,,Kogi,Availability of toilet/laterine,Percentage (%),NGKO22,22.3
2021,"Proportion of schools access basic services, by type of service",,,,,Kwara,Availability of toilet/laterine,Percentage (%),NGKW23,56.3
2021,"Proportion of schools access basic services, by type of service",,,,,Lagos,Availability of toilet/laterine,Percentage (%),NGLA24,96.4
2021,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Availability of toilet/laterine,Percentage (%),NGNA25,38.5
2021,"Proportion of schools access basic services, by type of service",,,,,Niger,Availability of toilet/laterine,Percentage (%),NGNI26,53.2
2021,"Proportion of schools access basic services, by type of service",,,,,Ogun,Availability of toilet/laterine,Percentage (%),NGOG27,64.2
2021,"Proportion of schools access basic services, by type of service",,,,,Ondo,Availability of toilet/laterine,Percentage (%),NGON28,62.8
2021,"Proportion of schools access basic services, by type of service",,,,,Osun,Availability of toilet/laterine,Percentage (%),NGOS29,67.8
2021,"Proportion of schools access basic services, by type of service",,,,,Oyo,Availability of toilet/laterine,Percentage (%),NGOY30,46.0
2021,"Proportion of schools access basic services, by type of service",,,,,Plateau,Availability of toilet/laterine,Percentage (%),NGPL31,41.1
2021,"Proportion of schools access basic services, by type of service",,,,,Rivers,Availability of toilet/laterine,Percentage (%),NGRI32,55.8
2021,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Availability of toilet/laterine,Percentage (%),NGSO33,80.6
2021,"Proportion of schools access basic services, by type of service",,,,,Taraba,Availability of toilet/laterine,Percentage (%),NGTA34,58.2
2021,"Proportion of schools access basic services, by type of service",,,,,Yobe,Availability of toilet/laterine,Percentage (%),NGYO35,80.7
2021,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Availability of toilet/laterine,Percentage (%),NGZA36,64.1
2021,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Availability of toilet/laterine,Percentage (%),NGFC37,86.3
2021,"Proportion of schools access basic services, by type of service",,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,51.4
2021,"Proportion of schools access basic services, by type of service",,,,North Central,,Availiabilty of Handwashing Facilities,Percentage (%),NGNCZ06,47.5
2021,"Proportion of schools access basic services, by type of service",,,,North East,,Availiabilty of Handwashing Facilities,Percentage (%),NGNEZ05,40.8
2021,"Proportion of schools access basic services, by type of service",,,,North West,,Availiabilty of Handwashing Facilities,Percentage (%),NGNWZ04,39.9
2021,"Proportion of schools access basic services, by type of service",,,,South East,,Availiabilty of Handwashing Facilities,Percentage (%),NGSEZ03,37.4
2021,"Proportion of schools access basic services, by type of service",,,,South South,,Availiabilty of Handwashing Facilities,Percentage (%),NGSSZ02,58.2
2021,"Proportion of schools access basic services, by type of service",,,,South West,,Availiabilty of Handwashing Facilities,Percentage (%),NGSWZ01,69.3
2020,"Proportion of schools access basic services, by type of service",Urban,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,70.7
2021,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,69.7
2021,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,71.3
2021,"Proportion of schools access basic services, by type of service",Rural,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,42.4
2021,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,38.0
2021,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,39.0
2021,"Proportion of schools access basic services, by type of service",Small Town,,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,61.0
2021,"Proportion of schools access basic services, by type of service",,Normal,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,51.3
2021,"Proportion of schools access basic services, by type of service",,Special Needs,,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,59.4
2021,"Proportion of schools access basic services, by type of service",,,Primary,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,48.8
2021,"Proportion of schools access basic services, by type of service",,,Secondary,,,Availiabilty of Handwashing Facilities,Percentage (%),NG,61.4
2021,"Proportion of schools access basic services, by type of service",,,,,Abia,Availiabilty of Handwashing Facilities,Percentage (%),NGAB01,19.5
2021,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Availiabilty of Handwashing Facilities,Percentage (%),NGAD02,17.9
2021,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Availiabilty of Handwashing Facilities,Percentage (%),NGAK03,56.7
2021,"Proportion of schools access basic services, by type of service",,,,,Anambra,Availiabilty of Handwashing Facilities,Percentage (%),NGAN04,72.1
2021,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Availiabilty of Handwashing Facilities,Percentage (%),NGBA05,57.1
2021,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Availiabilty of Handwashing Facilities,Percentage (%),NGBY06,29.6
2021,"Proportion of schools access basic services, by type of service",,,,,Benue,Availiabilty of Handwashing Facilities,Percentage (%),NGBE07,61.1
2021,"Proportion of schools access basic services, by type of service",,,,,Borno,Availiabilty of Handwashing Facilities,Percentage (%),NGBO08,41.0
2021,"Proportion of schools access basic services, by type of service",,,,,Cross River,Availiabilty of Handwashing Facilities,Percentage (%),NGXR09,74.7
2021,"Proportion of schools access basic services, by type of service",,,,,Delta,Availiabilty of Handwashing Facilities,Percentage (%),NGDE10,71.7
2021,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Availiabilty of Handwashing Facilities,Percentage (%),NGEB11,35.0
2021,"Proportion of schools access basic services, by type of service",,,,,Edo,Availiabilty of Handwashing Facilities,Percentage (%),NGED12,59.0
2021,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Availiabilty of Handwashing Facilities,Percentage (%),NGEK13,66.0
2021,"Proportion of schools access basic services, by type of service",,,,,Enugu,Availiabilty of Handwashing Facilities,Percentage (%),NGEN14,39.6
2021,"Proportion of schools access basic services, by type of service",,,,,Gombe,Availiabilty of Handwashing Facilities,Percentage (%),NGGO15,45.6
2021,"Proportion of schools access basic services, by type of service",,,,,Imo,Availiabilty of Handwashing Facilities,Percentage (%),NGIM16,18.2
2021,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Availiabilty of Handwashing Facilities,Percentage (%),NGJI17,48.8
2021,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Availiabilty of Handwashing Facilities,Percentage (%),NGKD18,49.2
2021,"Proportion of schools access basic services, by type of service",,,,,Kano,Availiabilty of Handwashing Facilities,Percentage (%),NGKN19,38.2
2021,"Proportion of schools access basic services, by type of service",,,,,Katsina,Availiabilty of Handwashing Facilities,Percentage (%),NGKT20,45.8
2021,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Availiabilty of Handwashing Facilities,Percentage (%),NGKE21,14.8
2021,"Proportion of schools access basic services, by type of service",,,,,Kogi,Availiabilty of Handwashing Facilities,Percentage (%),NGKO22,52.9
2021,"Proportion of schools access basic services, by type of service",,,,,Kwara,Availiabilty of Handwashing Facilities,Percentage (%),NGKW23,25.3
2021,"Proportion of schools access basic services, by type of service",,,,,Lagos,Availiabilty of Handwashing Facilities,Percentage (%),NGLA24,83.2
2021,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Availiabilty of Handwashing Facilities,Percentage (%),NGNA25,55.4
2021,"Proportion of schools access basic services, by type of service",,,,,Niger,Availiabilty of Handwashing Facilities,Percentage (%),NGNI26,37.6
2021,"Proportion of schools access basic services, by type of service",,,,,Ogun,Availiabilty of Handwashing Facilities,Percentage (%),NGOG27,65.1
2021,"Proportion of schools access basic services, by type of service",,,,,Ondo,Availiabilty of Handwashing Facilities,Percentage (%),NGON28,74.6
2021,"Proportion of schools access basic services, by type of service",,,,,Osun,Availiabilty of Handwashing Facilities,Percentage (%),NGOS29,67.0
2021,"Proportion of schools access basic services, by type of service",,,,,Oyo,Availiabilty of Handwashing Facilities,Percentage (%),NGOY30,47.1
2021,"Proportion of schools access basic services, by type of service",,,,,Plateau,Availiabilty of Handwashing Facilities,Percentage (%),NGPL31,38.0
2021,"Proportion of schools access basic services, by type of service",,,,,Rivers,Availiabilty of Handwashing Facilities,Percentage (%),NGRI32,33.4
2021,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Availiabilty of Handwashing Facilities,Percentage (%),NGSO33,63.4
2021,"Proportion of schools access basic services, by type of service",,,,,Taraba,Availiabilty of Handwashing Facilities,Percentage (%),NGTA34,47.1
2021,"Proportion of schools access basic services, by type of service",,,,,Yobe,Availiabilty of Handwashing Facilities,Percentage (%),NGYO35,26.4
2021,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Availiabilty of Handwashing Facilities,Percentage (%),NGZA36,10.3
2021,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Availiabilty of Handwashing Facilities,Percentage (%),NGFC37,84.0
2021,"Proportion of schools access basic services, by type of service",,,,,,Enviroment Health in Schools,Percentage (%),NG,19.4
2021,"Proportion of schools access basic services, by type of service",,,,North Central,,Enviroment Health in Schools,Percentage (%),NGNCZ06,12.9
2021,"Proportion of schools access basic services, by type of service",,,,North East,,Enviroment Health in Schools,Percentage (%),NGNEZ05,19.5
2021,"Proportion of schools access basic services, by type of service",,,,North West,,Enviroment Health in Schools,Percentage (%),NGNWZ04,22.2
2021,"Proportion of schools access basic services, by type of service",,,,South East,,Enviroment Health in Schools,Percentage (%),NGSEZ03,14.0
2021,"Proportion of schools access basic services, by type of service",,,,South South,,Enviroment Health in Schools,Percentage (%),NGSSZ02,17.9
2021,"Proportion of schools access basic services, by type of service",,,,South West,,Enviroment Health in Schools,Percentage (%),NGSWZ01,25.6
2020,"Proportion of schools access basic services, by type of service",Urban,,,,,Enviroment Health in Schools,Percentage (%),NG,28.9
2021,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Enviroment Health in Schools,Percentage (%),NG,25.3
2021,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Enviroment Health in Schools,Percentage (%),NG,30.6
2021,"Proportion of schools access basic services, by type of service",Rural,,,,,Enviroment Health in Schools,Percentage (%),NG,15.0
2021,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Enviroment Health in Schools,Percentage (%),NG,11.8
2021,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Enviroment Health in Schools,Percentage (%),NG,10.8
2021,"Proportion of schools access basic services, by type of service",Small Town,,,,,Enviroment Health in Schools,Percentage (%),NG,29.0
2021,"Proportion of schools access basic services, by type of service",,Normal,,,,Enviroment Health in Schools,Percentage (%),NG,19.4
2021,"Proportion of schools access basic services, by type of service",,Special Needs,,,,Enviroment Health in Schools,Percentage (%),NG,22.3
2021,"Proportion of schools access basic services, by type of service",,,Primary,,,Enviroment Health in Schools,Percentage (%),NG,17.2
2021,"Proportion of schools access basic services, by type of service",,,Secondary,,,Enviroment Health in Schools,Percentage (%),NG,27.8
2021,"Proportion of schools access basic services, by type of service",,,,,Abia,Enviroment Health in Schools,Percentage (%),NGAB01,24.2
2021,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Enviroment Health in Schools,Percentage (%),NGAD02,4.0
2021,"Proportion of schools access basic services, by type of service",,,,,Akwa Ibom,Enviroment Health in Schools,Percentage (%),NGAK03,6.25
2021,"Proportion of schools access basic services, by type of service",,,,,Anambra,Enviroment Health in Schools,Percentage (%),NGAN04,26.2
2021,"Proportion of schools access basic services, by type of service",,,,,Bauchi,Enviroment Health in Schools,Percentage (%),NGBA05,10.6
2021,"Proportion of schools access basic services, by type of service",,,,,Bayelsa,Enviroment Health in Schools,Percentage (%),NGBY06,4.3
2021,"Proportion of schools access basic services, by type of service",,,,,Benue,Enviroment Health in Schools,Percentage (%),NGBE07,3.7
2021,"Proportion of schools access basic services, by type of service",,,,,Borno,Enviroment Health in Schools,Percentage (%),NGBO08,59.0
2021,"Proportion of schools access basic services, by type of service",,,,,Cross River,Enviroment Health in Schools,Percentage (%),NGXR09,25.1
2021,"Proportion of schools access basic services, by type of service",,,,,Delta,Enviroment Health in Schools,Percentage (%),NGDE10,15.3
2021,"Proportion of schools access basic services, by type of service",,,,,Ebonyi,Enviroment Health in Schools,Percentage (%),NGEB11,0.0
2021,"Proportion of schools access basic services, by type of service",,,,,Edo,Enviroment Health in Schools,Percentage (%),NGED12,39.2
2021,"Proportion of schools access basic services, by type of service",,,,,Ekiti,Enviroment Health in Schools,Percentage (%),NGEK13,15.7
2021,"Proportion of schools access basic services, by type of service",,,,,Enugu,Enviroment Health in Schools,Percentage (%),NGEN14,9.1
2021,"Proportion of schools access basic services, by type of service",,,,,Gombe,Enviroment Health in Schools,Percentage (%),NGGO15,38.0
2021,"Proportion of schools access basic services, by type of service",,,,,Imo,Enviroment Health in Schools,Percentage (%),NGIM16,10.2
2021,"Proportion of schools access basic services, by type of service",,,,,Jigawa,Enviroment Health in Schools,Percentage (%),NGJI17,48.8
2021,"Proportion of schools access basic services, by type of service",,,,,Kaduna,Enviroment Health in Schools,Percentage (%),NGKD18,12.4
2021,"Proportion of schools access basic services, by type of service",,,,,Kano,Enviroment Health in Schools,Percentage (%),NGKN19,9.4
2021,"Proportion of schools access basic services, by type of service",,,,,Katsina,Enviroment Health in Schools,Percentage (%),NGKT20,27.9
2021,"Proportion of schools access basic services, by type of service",,,,,Kebbi,Enviroment Health in Schools,Percentage (%),NGKE21,48.7
2021,"Proportion of schools access basic services, by type of service",,,,,Kogi,Enviroment Health in Schools,Percentage (%),NGKO22,8.9
2021,"Proportion of schools access basic services, by type of service",,,,,Kwara,Enviroment Health in Schools,Percentage (%),NGKW23,1.7
2021,"Proportion of schools access basic services, by type of service",,,,,Lagos,Enviroment Health in Schools,Percentage (%),NGLA24,47.0
2021,"Proportion of schools access basic services, by type of service",,,,,Nasarawa,Enviroment Health in Schools,Percentage (%),NGNA25,14.3
2021,"Proportion of schools access basic services, by type of service",,,,,Niger,Enviroment Health in Schools,Percentage (%),NGNI26,5.2
2021,"Proportion of schools access basic services, by type of service",,,,,Ogun,Enviroment Health in Schools,Percentage (%),NGOG27,15.5
2021,"Proportion of schools access basic services, by type of service",,,,,Ondo,Enviroment Health in Schools,Percentage (%),NGON28,11.8
2021,"Proportion of schools access basic services, by type of service",,,,,Osun,Enviroment Health in Schools,Percentage (%),NGOS29,6.0
2021,"Proportion of schools access basic services, by type of service",,,,,Oyo,Enviroment Health in Schools,Percentage (%),NGOY30,12.9
2021,"Proportion of schools access basic services, by type of service",,,,,Plateau,Enviroment Health in Schools,Percentage (%),NGPL31,21.4
2021,"Proportion of schools access basic services, by type of service",,,,,Rivers,Enviroment Health in Schools,Percentage (%),NGRI32,0.2
2021,"Proportion of schools access basic services, by type of service",,,,,Sokoto,Enviroment Health in Schools,Percentage (%),NGSO33,41.3
2021,"Proportion of schools access basic services, by type of service",,,,,Taraba,Enviroment Health in Schools,Percentage (%),NGTA34,10.5
2021,"Proportion of schools access basic services, by type of service",,,,,Yobe,Enviroment Health in Schools,Percentage (%),NGYO35,0.0
2021,"Proportion of schools access basic services, by type of service",,,,,Zamfara,Enviroment Health in Schools,Percentage (%),NGZA36,16.6
2021,"Proportion of schools access basic services, by type of service",,,,,Federal Capital Territory,Enviroment Health in Schools,Percentage (%),NGFC37,60.4
2021,"Proportion of schools access basic services, by type of service",,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,37.0
2021,"Proportion of schools access basic services, by type of service",,,,North Central,,Proportion of Schools with basic water supply,Percentage (%),NGNCZ06,36.9
2021,"Proportion of schools access basic services, by type of service",,,,North East,,Proportion of Schools with basic water supply,Percentage (%),NGNEZ05,35.0
2021,"Proportion of schools access basic services, by type of service",,,,North West,,Proportion of Schools with basic water supply,Percentage (%),NGNWZ04,43.2
2021,"Proportion of schools access basic services, by type of service",,,,South East,,Proportion of Schools with basic water supply,Percentage (%),NGSEZ03,21.5
2021,"Proportion of schools access basic services, by type of service",,,,South South,,Proportion of Schools with basic water supply,Percentage (%),NGSSZ02,29.0
2021,"Proportion of schools access basic services, by type of service",,,,South West,,Proportion of Schools with basic water supply,Percentage (%),NGSWZ01,42.9
2020,"Proportion of schools access basic services, by type of service",Urban,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,49.0
2021,"Proportion of schools access basic services, by type of service",Peri-Urban,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,45.7
2021,"Proportion of schools access basic services, by type of service",Urban-Urban,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,50.6
2021,"Proportion of schools access basic services, by type of service",Rural,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,31.4
2021,"Proportion of schools access basic services, by type of service",Itenerant,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,26.4
2021,"Proportion of schools access basic services, by type of service",Rural-Rural,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,30.3
2021,"Proportion of schools access basic services, by type of service",Small Town,,,,,Proportion of Schools with basic water supply,Percentage (%),NG,52.1
2021,"Proportion of schools access basic services, by type of service",,Normal,,,,Proportion of Schools with basic water supply,Percentage (%),NG,36.9
2021,"Proportion of schools access basic services, by type of service",,Special Needs,,,,Proportion of Schools with basic water supply,Percentage (%),NG,56.2
2021,"Proportion of schools access basic services, by type of service",,,Primary,,,Proportion of Schools with basic water supply,Percentage (%),NG,35.3
2021,"Proportion of schools access basic services, by type of service",,,Secondary,,,Proportion of Schools with basic water supply,Percentage (%),NG,43.6
2021,"Proportion of schools access basic services, by type of service",,,,,Abia,Proportion of Schools with basic water supply,Percentage (%),NGAB01,18.4
2021,"Proportion of schools access basic services, by type of service",,,,,Adamawa,Proportion of Schools with basic water supply,Percentage (%),NGAD02,28.4
